id,cpu_per_max,cpu_per_av,cpu_mem_max,cpu_mem_av,gpu_mem_max,gpu_mem_av,gpu_per_max,gpu_per_ave,generation_throughput,prompt_eval_throughput
simple_75,358.60511791272194,300.78643473026216,1041.0,994.4973958333334,580.078125,559.6398237179487,8.1,0.9076923076923077,2.71,4.11
simple_76,359.5691382765688,304.43313357593706,1042.05078125,996.79921875,580.078125,560.35078125,40.3,6.725,2.7,4.18
simple_77,355.6025369978845,293.63306518595124,1041.0546875,992.9004934210526,580.078125,558.4703947368421,40.3,2.121052631578947,2.75,4.15
simple_78,305.36312849159526,227.64893175736708,1041.375,943.2573784722222,2109.578125,1162.9618055555557,99.7,28.444444444444443,2.72,8.92
simple_79,354.89386792450847,294.6518399536818,1040.1640625,987.7693014705883,580.078125,556.8694852941177,31.5,1.8529411764705883,2.76,4.15
simple_08,357.1285140562236,296.2571228462938,1041.8046875,994.9509765625,580.078125,559.55078125,3.3,0.16499999999999998,2.72,4.14
simple_80,355.7082452431618,293.5108859639921,1042.76171875,994.0002055921053,580.078125,558.2598684210526,16.7,1.110526315789474,2.75,4.17
simple_81,358.9679358717592,303.92778246491724,1043.875,998.5169921875,580.078125,560.15078125,15.3,0.765,2.71,4.19
simple_82,340.0354819633382,270.5695417692751,1043.25,990.2679227941177,2109.578125,1607.9577205882354,51.8,9.876470588235295,2.7,7.53
simple_83,357.12694877503685,298.83301022117945,1041.91015625,992.2016059027778,580.078125,558.3810763888889,32.6,8.36111111111111,2.73,4.17
simple_84,337.8761061946758,266.29131718233344,1040.34765625,987.9551930147059,2109.578125,1608.1930147058824,88.6,15.041176470588239,2.7,7.89
simple_85,341.08786610881776,263.53529211161424,1041.80078125,931.6243206521739,580.078125,530.898097826087,18.1,1.5739130434782609,2.81,4.15
simple_86,357.6781002638728,300.30220718109695,1040.83984375,993.8735608552631,580.078125,559.3125,20.4,1.0736842105263158,2.71,4.16
simple_87,358.1115017579132,299.62149646249543,1041.35546875,995.640234375,580.078125,559.95078125,41.9,2.32,2.71,4.16
simple_88,356.33450175260816,295.86604435869987,1041.94140625,996.3962890625,580.078125,559.75078125,40.6,2.0300000000000002,2.73,4.14
simple_89,358.8353413654605,301.6831978692834,1042.00390625,996.18671875,580.078125,559.95078125,11.9,1.405,2.7,4.13
simple_09,357.59493670887724,299.08526988853237,1041.0390625,993.5662006578947,580.078125,559.1019736842105,47.1,2.9052631578947365,2.73,4.15
simple_90,358.0160320641439,300.3593641333557,1041.92578125,996.4439453125,580.078125,560.15078125,38.5,5.655000000000001,2.65,4.14
simple_91,356.5010570824511,296.14755021336873,1040.89453125,992.7884457236842,580.078125,558.6809210526316,33.6,1.7684210526315791,2.71,4.17
simple_92,340.2882205513583,272.41686525327464,1041.11328125,986.266845703125,2109.578125,1656.2001953125,43.9,6.581250000000001,2.73,8.47
simple_93,359.1182364729616,302.044634484078,1043.28515625,997.8933293269231,580.078125,560.0500801282051,2.2,0.22564102564102567,2.66,4.16
simple_94,341.5094339622817,274.52285041513886,1041.19921875,989.2961856617648,2109.578125,1608.4283088235295,96.4,15.899999999999997,2.72,8.09
simple_95,356.5539112050726,296.27874978438837,1040.75390625,993.3694490131579,580.078125,558.891447368421,23.4,1.6578947368421053,2.71,4.17
simple_96,354.83870967742206,291.96061689125844,1041.06640625,992.6578947368421,580.078125,558.4703947368421,42.3,6.789473684210525,2.7,4.12
simple_97,358.86773547092486,301.9161825830843,1041.9296875,996.61171875,580.078125,560.15078125,21.6,2.84,2.69,4.12
simple_98,341.63217031342697,274.58084117744613,1041.36328125,989.0236672794117,2109.578125,1608.4283088235295,58.5,13.311764705882354,2.68,8.2
simple_99,357.22573839664096,298.6573973646415,1041.375,994.0378289473684,580.078125,559.1019736842105,21.9,1.1526315789473685,2.74,4.15
task-oriented_00,342.11913547708093,280.7321028645598,1050.0859375,1002.5178865131579,2131.078125,1413.9967105263158,99.7,14.394736842105264,2.53,15.73
task-oriented_01,356.813627254503,306.62259128893135,1051.3515625,1021.0673177083333,2133.078125,1636.6098958333334,99.7,16.40000000000001,2.49,16.07
task-oriented_10,363.48788198104097,320.90098338992595,1056.41796875,1032.1887335526317,2145.078125,1685.9979440789473,99.7,13.57105263157895,2.35,19.56
task-oriented_11,355.2377547372268,302.0531681066032,1053.84765625,1020.7679966517857,2137.828125,1560.076450892857,99.7,14.878571428571428,2.46,17.95
task-oriented_12,368.6549932653501,331.80785479879546,1054.5625,1036.998046875,2139.328125,1828.3272235576924,99.7,10.840384615384616,2.39,18.01
task-oriented_13,370.55329790558756,337.5460220095486,1066.1796875,1051.2103223425197,2161.578125,1786.5616387795276,99.7,10.59685039370079,2.2,19.92
