secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
548,complex_19,4192.54,374.07,30098.23,105.0,36.0
549,complex_19,4192.54,374.07,30098.23,105.0,36.0
550,complex_19,4192.54,374.07,30098.23,105.0,36.0
551,complex_19,4192.54,374.07,30098.23,105.0,36.0
552,complex_19,4192.54,374.07,30098.23,105.0,36.0
553,complex_19,4192.54,374.07,30098.23,105.0,36.0
554,complex_19,4192.54,374.07,30098.23,105.0,36.0
555,complex_19,4192.54,374.07,30098.23,105.0,36.0
556,complex_19,4192.54,374.07,30098.23,105.0,36.0
557,complex_19,4192.54,374.07,30098.23,105.0,36.0
558,complex_19,4192.54,374.07,30098.23,105.0,36.0
559,complex_19,4192.54,374.07,30098.23,105.0,36.0
560,complex_02,3936.69,370.33,18431.73,73.0,34.0
561,complex_02,3936.69,370.33,18431.73,73.0,34.0
562,complex_02,3936.69,370.33,18431.73,73.0,34.0
563,complex_02,3936.69,370.33,18431.73,73.0,34.0
564,complex_02,3936.69,370.33,18431.73,73.0,34.0
565,complex_02,3936.69,370.33,18431.73,73.0,34.0
566,complex_02,3936.69,370.33,18431.73,73.0,34.0
567,complex_02,3936.69,370.33,18431.73,73.0,34.0
568,complex_02,3936.69,370.33,18431.73,73.0,34.0
569,complex_02,3936.69,370.33,18431.73,73.0,34.0
570,complex_02,3936.69,370.33,18431.73,73.0,34.0
571,complex_02,3936.69,370.33,18431.73,73.0,34.0
572,complex_02,3936.69,370.33,18431.73,73.0,34.0
573,complex_02,3936.69,370.33,18431.73,73.0,34.0
574,complex_02,3936.69,370.33,18431.73,73.0,34.0
575,complex_02,3936.69,370.33,18431.73,73.0,34.0
576,complex_02,3936.69,370.33,18431.73,73.0,34.0
577,complex_02,3936.69,370.33,18431.73,73.0,34.0
578,complex_02,3936.69,370.33,18431.73,73.0,34.0
579,complex_02,3936.69,370.33,18431.73,73.0,34.0
580,complex_02,3936.69,370.33,18431.73,73.0,34.0
581,complex_02,3936.69,370.33,18431.73,73.0,34.0
582,complex_02,3936.69,370.33,18431.73,73.0,34.0
583,complex_02,3936.69,370.33,18431.73,73.0,34.0
584,complex_02,3936.69,370.33,18431.73,73.0,34.0
585,complex_02,3936.69,370.33,18431.73,73.0,34.0
586,complex_02,3936.69,370.33,18431.73,73.0,34.0
587,complex_02,3936.69,370.33,18431.73,73.0,34.0
588,complex_02,3936.69,370.33,18431.73,73.0,34.0
589,complex_02,3936.69,370.33,18431.73,73.0,34.0
590,complex_02,3936.69,370.33,18431.73,73.0,34.0
591,complex_02,3936.69,370.33,18431.73,73.0,34.0
592,complex_02,3936.69,370.33,18431.73,73.0,34.0
593,complex_02,3936.69,370.33,18431.73,73.0,34.0
594,complex_02,3936.69,370.33,18431.73,73.0,34.0
595,complex_02,3936.69,370.33,18431.73,73.0,34.0
596,complex_02,3936.69,370.33,18431.73,73.0,34.0
597,complex_02,3936.69,370.33,18431.73,73.0,34.0
598,complex_02,3936.69,370.33,18431.73,73.0,34.0
599,complex_02,3936.69,370.33,18431.73,73.0,34.0
600,complex_20,4158.37,366.22,12615.01,57.0,34.0
601,complex_20,4158.37,366.22,12615.01,57.0,34.0
602,complex_20,4158.37,366.22,12615.01,57.0,34.0
603,complex_20,4158.37,366.22,12615.01,57.0,34.0
604,complex_20,4158.37,366.22,12615.01,57.0,34.0
605,complex_20,4158.37,366.22,12615.01,57.0,34.0
606,complex_20,4158.37,366.22,12615.01,57.0,34.0
607,complex_20,4158.37,366.22,12615.01,57.0,34.0
608,complex_20,4158.37,366.22,12615.01,57.0,34.0
609,complex_20,4158.37,366.22,12615.01,57.0,34.0
610,complex_20,4158.37,366.22,12615.01,57.0,34.0
611,complex_20,4158.37,366.22,12615.01,57.0,34.0
612,complex_20,4158.37,366.22,12615.01,57.0,34.0
613,complex_20,4158.37,366.22,12615.01,57.0,34.0
614,complex_20,4158.37,366.22,12615.01,57.0,34.0
615,complex_20,4158.37,366.22,12615.01,57.0,34.0
616,complex_20,4158.37,366.22,12615.01,57.0,34.0
617,complex_20,4158.37,366.22,12615.01,57.0,34.0
618,complex_20,4158.37,366.22,12615.01,57.0,34.0
619,complex_20,4158.37,366.22,12615.01,57.0,34.0
620,complex_20,4158.37,366.22,12615.01,57.0,34.0
621,complex_20,4158.37,366.22,12615.01,57.0,34.0
622,complex_20,4158.37,366.22,12615.01,57.0,34.0
623,complex_20,4158.37,366.22,12615.01,57.0,34.0
624,complex_20,4158.37,366.22,12615.01,57.0,34.0
625,complex_20,4158.37,366.22,12615.01,57.0,34.0
626,complex_20,4158.37,366.22,12615.01,57.0,34.0
627,complex_20,4158.37,366.22,12615.01,57.0,34.0
628,complex_20,4158.37,366.22,12615.01,57.0,34.0
629,complex_21,4198.33,372.44,6069.33,42.0,37.0
630,complex_21,4198.33,372.44,6069.33,42.0,37.0
631,complex_21,4198.33,372.44,6069.33,42.0,37.0
632,complex_21,4198.33,372.44,6069.33,42.0,37.0
633,complex_21,4198.33,372.44,6069.33,42.0,37.0
634,complex_21,4198.33,372.44,6069.33,42.0,37.0
635,complex_21,4198.33,372.44,6069.33,42.0,37.0
636,complex_21,4198.33,372.44,6069.33,42.0,37.0
637,complex_21,4198.33,372.44,6069.33,42.0,37.0
638,complex_21,4198.33,372.44,6069.33,42.0,37.0
639,complex_21,4198.33,372.44,6069.33,42.0,37.0
640,complex_21,4198.33,372.44,6069.33,42.0,37.0
641,complex_21,4198.33,372.44,6069.33,42.0,37.0
642,complex_21,4198.33,372.44,6069.33,42.0,37.0
643,complex_21,4198.33,372.44,6069.33,42.0,37.0
644,complex_21,4198.33,372.44,6069.33,42.0,37.0
645,complex_22,7476.32,379.23,29168.46,88.0,31.0
