secs,id,cpu_per,cpu_mem,gpu_mem,gpu_per,generation_throughput,prompt_eval_throughput
1880,complex_04,356.936201780415,1040.625,2109.578125,0.0,2.66,8.14
1881,complex_04,357.8119413657516,1040.625,2109.578125,0.0,2.66,8.14
1882,complex_04,357.8119413657516,1040.625,2109.578125,0.0,2.66,8.14
1883,complex_04,358.73618784530345,1040.625,2109.578125,0.0,2.66,8.14
1884,complex_04,358.73618784530345,1040.625,2109.578125,0.0,2.66,8.14
1885,complex_04,359.57943925233604,1040.625,2109.578125,0.0,2.66,8.14
1886,complex_04,359.57943925233604,1040.625,2109.578125,0.0,2.66,8.14
1887,complex_04,360.2195673232183,1040.625,2109.578125,0.0,2.66,8.14
1888,complex_04,360.2195673232183,1040.625,2109.578125,0.0,2.66,8.14
1889,complex_04,360.8695652173936,1040.625,2109.578125,0.0,2.66,8.14
1890,complex_04,360.8695652173936,1040.625,2109.578125,0.0,2.66,8.14
1891,complex_40,79.0,158.79296875,177.53125,50.7,2.69,8.04
1892,complex_40,79.0,158.79296875,177.53125,50.7,2.69,8.04
1893,complex_40,111.91709844560536,1035.99609375,580.078125,0.0,2.69,8.04
1894,complex_40,111.91709844560536,1035.99609375,580.078125,0.0,2.69,8.04
1895,complex_40,194.21768707485637,1039.79296875,844.078125,80.0,2.69,8.04
1896,complex_40,194.21768707485637,1039.79296875,844.078125,80.0,2.69,8.04
1897,complex_40,231.2182741116986,1040.56640625,844.078125,87.5,2.69,8.04
1898,complex_40,231.2182741116986,1040.56640625,844.078125,87.5,2.69,8.04
1899,complex_40,253.54969574037352,1040.56640625,844.078125,45.7,2.69,8.04
1900,complex_40,253.54969574037352,1040.56640625,844.078125,45.7,2.69,8.04
1901,complex_40,268.29679595278986,1040.82421875,844.078125,0.2,2.69,8.04
1902,complex_40,268.29679595278986,1040.82421875,844.078125,0.2,2.69,8.04
1903,complex_40,282.42074927955525,1041.34375,2109.578125,1.2,2.69,8.04
1904,complex_40,282.42074927955525,1041.34375,2109.578125,1.2,2.69,8.04
1905,complex_40,295.2201257861703,1041.34375,2109.578125,0.0,2.69,8.04
1906,complex_40,295.2201257861703,1041.34375,2109.578125,0.0,2.69,8.04
1907,complex_40,304.9217002237273,1041.34375,2109.578125,0.0,2.69,8.04
1908,complex_40,304.9217002237273,1041.34375,2109.578125,0.0,2.69,8.04
1909,complex_40,312.9778672032319,1041.34375,2109.578125,0.0,2.69,8.04
1910,complex_40,312.9778672032319,1041.34375,2109.578125,0.0,2.69,8.04
1911,complex_40,319.1956124314559,1041.34375,2109.578125,25.0,2.69,8.04
1912,complex_40,319.1956124314559,1041.34375,2109.578125,25.0,2.69,8.04
1913,complex_40,324.790619765505,1041.34375,2109.578125,0.0,2.69,8.04
1914,complex_40,324.790619765505,1041.34375,2109.578125,0.0,2.69,8.04
1915,complex_40,329.2890262751261,1041.34375,2109.578125,0.0,2.69,8.04
1916,complex_40,329.2890262751261,1041.34375,2109.578125,0.0,2.69,8.04
1917,complex_40,332.92682926830224,1041.34375,2109.578125,0.0,2.69,8.04
1918,complex_40,332.92682926830224,1041.34375,2109.578125,0.0,2.69,8.04
1919,complex_40,336.2115127175458,1041.34375,2109.578125,0.0,2.69,8.04
1920,complex_40,336.2115127175458,1041.34375,2109.578125,0.0,2.69,8.04
1921,complex_40,339.2722710163197,1041.34375,2109.578125,0.0,2.69,8.04
1922,complex_40,339.2722710163197,1041.34375,2109.578125,0.0,2.69,8.04
1923,complex_40,341.7945690673044,1041.34375,2109.578125,21.0,2.69,8.04
1924,complex_40,341.7945690673044,1041.34375,2109.578125,21.0,2.69,8.04
1925,complex_40,344.14715719064316,1041.34375,2109.578125,0.0,2.69,8.04
1926,complex_40,344.14715719064316,1041.34375,2109.578125,0.0,2.69,8.04
1927,complex_40,346.0158311345679,1041.34375,2109.578125,0.0,2.69,8.04
1928,complex_40,346.0158311345679,1041.34375,2109.578125,0.0,2.69,8.04
1929,complex_40,347.86967418546686,1041.34375,2109.578125,0.0,2.69,8.04
1930,complex_40,347.86967418546686,1041.34375,2109.578125,0.0,2.69,8.04
